neo_id,name,absolute_magnitude,estimated_diameter_min,estimated_diameter_max,orbiting_body,relative_velocity,miss_distance,is_hazardous
2162117,162117 (1998 SD15),19.14,0.3949616937,0.8831611957,Earth,71745.4010476829,58143623.319169725,False
2349507,349507 (2008 QY),18.5,0.5303407233,1.1858779086,Earth,109949.7571484926,55801047.818199438,True
2455415,455415 (2003 GA),21.45,0.1363185559,0.3048175575,Earth,24865.5067981164,67206887.722544621,False
3132126,(2002 PB),20.63,0.1988634532,0.4446721997,Earth,78890.0768053243,30396444.123281813,False
3557844,(2011 DW),22.7,0.0766575574,0.1714115092,Earth,56036.5194835328,63118626.507265413,False
3656926,(2014 BT8),25.0,0.02658,0.0594346868,Earth,47477.6498319149,42905214.175839345,False
3421513,(2008 OX1),21.5,0.1332155667,0.2978790628,Earth,57853.2953456014,27279081.267306094,True
3541504,(2010 OF101),19.75,0.2982325052,0.6668681546,Earth,46972.4867936298,69975931.311149505,False
3836942,(2018 YH),21.7,0.1214940408,0.2716689341,Earth,37424.5483817653,5657726.906878882,True
3892166,(2019 UP13),23.45,0.0542693946,0.1213500554,Earth,38524.8678693203,61661184.562652514,False
54245816,(2022 CM3),26.02,0.0166170902,0.0371569432,Earth,45125.6120486885,34223883.067873017,False
2627157,627157 (2008 OX1),21.5,0.1332155667,0.2978790628,Earth,57853.2957426173,27279080.743713549,True
54418652,(2024 AF),23.76,0.0470494961,0.1052058716,Earth,19121.3349135938,12444447.770549159,False
2162635,162635 (2000 SS164),16.71,1.2093582639,2.7042072872,Earth,12703.7885715422,69589432.438346407,False
3559741,(2011 EE41),24.3,0.0366906138,0.0820427065,Earth,67828.7858823,71307953.842305414,False
54193347,(2021 RA4),24.32,0.0363542322,0.0812905344,Earth,45162.155756983,40366842.873283091,False
54245582,(2022 CQ2),24.9,0.0278326768,0.0622357573,Earth,40238.0190573707,10675158.100397389,False
2277810,277810 (2006 FV35),21.72,0.1203801767,0.2691782583,Earth,31504.1009261814,43507908.958248191,False
2284422,284422 (2006 YD),17.36,0.8965096664,2.0046565566,Earth,99804.7390172065,55195295.793880124,False
2357439,357439 (2004 BL86),19.29,0.3685996993,0.8242139842,Earth,59133.7765895422,7266531.841719698,True
3639467,(2013 LC1),23.9,0.04411182,0.0986370281,Earth,44783.1912222101,50409368.112015115,False
54110699,(2021 CZ2),22.45,0.086011194,0.1923268766,Earth,100358.5947538075,68046448.920729021,False
2052387,52387 Huitzilopochtli (1993 OM7),17.77,0.742258153,1.659739687,Earth,57915.566421413,60288917.257388566,False
